# Non-vacuity registry (roadmap item 418, step 8).
#
# One row per theorem registered in CheckAxioms.lean, naming the concrete
# evidence that the theorem's hypotheses can all hold at once. Checked by
# scripts/nonvacuity_gate.py, which also requires CheckAxioms.lean and
# run_gate.sh to register the same set.
#
# Fields, tab separated:
#   theorem  kind  witnesses  note
#
# kind:
#   instance    the hypotheses are jointly satisfiable and the witnesses
#               exhibit a concrete instance satisfying them
#   necessity   the theorem REFUSES, so joint satisfiability is what it
#               denies; the witnesses show each hypothesis satisfiable on
#               its own and the refusal not universal
#   contentless the theorem is true by definition rather than by any
#               property of its subject. A FINDING, kept visible; the
#               witnesses record what it is worth and where the
#               load-bearing statement lives
#   concrete    the theorem is itself a computation on concrete data, so it
#               has no hypotheses to satisfy. Only accepted when another
#               row cites it as a witness
RevL.G1.declared_only_access	instance	RevL.G1.g1_not_vacuous	a two-statement component admitted under exactly its declared requires, with a non-empty reach surface, beside the same body under a manifest that is neither admitted nor confined
RevL.G2.linkOK_provision_disjoint	instance	RevL.G2.realm_separation_admitted,RevL.G2.same_realm_conflict_refused	LinkOK holds of the two-realm tenants composition, and drops when the realms do
RevL.G2.linkOK_requires_closed	instance	RevL.G2.realm_separation_admitted	the same admitted composition supplies the LinkOK hypothesis
RevL.G2.realm_separation_admitted	concrete	-	computes LinkOK and ProvidesDisjoint on the shape of examples/tenants.rvl
RevL.G2.same_realm_conflict_refused	concrete	-	the same two providers without their isolate clauses, refused
RevL.G3.depPath_rank_lt	instance	RevL.G3.g3_not_vacuous	a layering and a dependency path hold together on the admitted composition, and the rank really drops across the edge
RevL.G3.no_dependency_cycles	necessity	RevL.G3.g3_not_vacuous,RevL.G3.layering_exists_for_admitted	the conclusion is False, so joint satisfiability is what it denies: the layering is establishable, a self-path is representable, only their conjunction is refused
RevL.G3.linkOK_layeredBy_rankOf	instance	RevL.G3.g3_not_vacuous	LinkOK is derivable for a composition with a real dependency edge
RevL.G3.linkOK_layered	instance	RevL.G3.g3_not_vacuous	the same LinkOK instance
RevL.G3.linkOK_no_cycles	necessity	RevL.G3.g3_not_vacuous,RevL.G3.mutual_cycle_refused,RevL.G3.self_provision_refused	LinkOK is inhabited, the cyclic composition carries a genuine self-path, and no ordering of it links
